Year,lat,lon,Depth,eDNA,SA
2020,68.375,-25.25,301,2.17940614675172e-4,0
2020,68.125,-25.25,0-100,6.767208930493021e-4,1016.86
2020,68.125,-25.25,101-300,0.00214987822497884,5993.85
2020,68.125,-25.25,301,1.3989198487252e-4,0
2020,68.875,-21.25,0-100,8.563896902463353e-4,4144.16
2020,68.875,-21.25,101-300,0.00126122448515768,0
2020,68.875,-21.25,301,5.8881108998321e-4,0
2020,68.875,-22.25,0-100,0.00134512665044894,8070.91
2020,68.875,-22.25,101-300,0.00373478746041656,5344.49
2020,68.875,-22.25,301,0.00261763126278917,0
2020,69.125,-24.25,0-100,9.50545882612157e-4,0
2020,69.125,-24.25,101-300,8.28366678130502e-4,0
2020,69.125,-24.25,301,4.55338148943459e-4,0
2020,69.875,-17.75,0-100,7.6387438942523e-5,0
2020,69.875,-17.75,101-300,0.00428323393377165,0
2020,69.875,-17.75,301,2.05052730355722e-4,0
2020,69.625,-21.75,0-100,3.5483175148935247e-4,0
2020,69.625,-21.75,101-300,4.33157101118316e-4,0
2020,69.625,-21.75,301,1.02945491865588e-4,0
2020,70.125,-15.25,0-100,6.578220518349542e-4,0
2020,70.125,-15.25,101-300,8.847564555859809e-4,0
2020,70.125,-15.25,301,0.00113077657685304,0
2020,70.125,-18.75,0-100,0.00232366158707009,820.62
2020,70.125,-18.75,101-300,8.420301237492826e-4,4247.14
2020,70.125,-18.75,301,0.00181647996093184,0
2020,70.125,-19.25,0-100,3.165320576954399e-4,5220.55
2020,70.125,-19.25,101-300,5.24685056007002e-5,291.37
2020,70.125,-19.25,301,1.73182510479819e-4,0
2020,70.125,-20.25,0-100,0.00131489483707506,11692.32
2020,70.125,-20.25,101-300,0.00126039261037173,0
2020,70.125,-21.25,0-100,7.26213145450553e-4,0
2020,70.125,-21.25,101-300,3.11502818173418e-4,0
2020,70.125,-21.25,301,0.00157938695823153,0
2020,70.625,-18.25,0-100,0.00282402302794556,36.08
2020,70.625,-18.25,101-300,3.84427611910117e-4,0
2020,70.625,-18.25,301,2.24129917114624e-5,0
2020,70.625,-19.25,0-100,6.337898291045951e-4,21.67
2020,70.625,-19.25,101-300,6.94398826453835e-4,604.97
2020,70.625,-19.25,301,1.22225872473791e-4,0
2020,71.375,-18.25,0-100,9.98298231327983e-4,0
2020,71.375,-18.25,101-300,2.33012033277191e-4,0
2020,71.375,-18.25,301,9.41498263273388e-4,0
2020,71.875,-16.25,0-100,4.837429575369857e-4,0
2020,71.875,-16.25,101-300,7.19284307706403e-5,0
2020,71.875,-16.25,301,6.09567835150907e-4,0
2020,71.875,-17.75,0-100,0.00278844542587345,0
2020,71.875,-17.75,101-300,0.00104267257362759,0
2020,71.875,-17.75,301,0.00105541557422839,0
2020,71.875,-18.25,0-100,0.00210025361896744,0
2020,71.875,-18.25,101-300,3.0735182842060304e-4,39.69
2020,71.875,-18.25,301,8.06003731365005e-4,0
2020,72.125,-12.75,0-100,0.00177808005112941,0
2020,72.125,-12.75,101-300,1.96606561075896e-4,0
2020,72.125,-12.75,301,5.75619972854232e-4,0
2020,72.125,-18.75,0-100,1.983821396909965e-4,0
2020,72.125,-18.75,101-300,0.00630908952249835,1004.74
2020,72.125,-20.25,0-100,5.17050936953941e-4,0
2020,72.125,-20.25,101-300,6.75605396584918e-4,0
2020,72.125,-20.25,301,5.22853612589339e-4,0
2020,73.125,-12.25,0-100,0.00667335264006397,0
2020,73.125,-12.25,101-300,2.37624568399042e-4,0
2020,73.125,-12.25,301,2.10995424519448e-4,0
